age,Medu,Fedu,traveltime,studytime,failures,famrel,freetime,goout,health,absences,G1,G2,G3
18,4,4,2,2,0,4,3,4,3,4,0,11,11
17,1,1,1,2,0,5,3,3,3,2,9,11,11
15,1,1,1,2,0,4,3,2,3,6,12,13,12
15,4,2,1,3,0,3,2,2,5,0,14,14,14
16,3,3,1,2,0,4,3,2,5,0,11,13,13
16,4,3,1,2,0,5,4,2,5,6,12,12,13
16,2,2,1,2,0,4,4,4,3,0,13,12,13
17,4,4,2,2,0,4,1,4,1,2,10,13,13
15,3,2,1,2,0,4,2,2,1,0,15,16,17
15,3,4,1,2,0,5,5,1,5,0,12,12,13
15,4,4,1,2,0,3,3,3,2,2,14,14,14
15,2,1,3,3,0,5,2,2,4,0,10,12,13
15,4,4,1,1,0,4,3,3,5,0,12,13,12
15,4,3,2,2,0,5,4,3,3,0,12,12,13
15,2,2,1,3,0,4,5,2,3,0,14,14,15
16,4,4,1,1,0,4,4,4,2,6,17,17,17
16,4,4,1,3,0,3,2,3,2,10,13,13,14
16,3,3,3,2,0,5,3,2,4,2,13,14,14
17,3,2,1,1,3,5,5,5,5,2,8,8,7
16,4,3,1,1,0,3,1,3,5,6,12,12,12
15,4,3,1,2,0,4,4,1,1,0,12,13,14
15,4,4,1,1,0,5,4,2,5,0,11,12,12
16,4,2,1,2,0,4,5,1,5,0,12,13,14
16,2,2,2,2,0,5,4,4,5,2,10,10,10
15,2,4,1,3,0,4,3,2,5,2,10,11,10
16,2,2,1,1,0,1,2,2,5,6,10,11,12
15,2,2,1,1,0,4,2,2,5,8,11,12,12
15,4,2,1,1,0,2,2,4,1,0,11,11,11
16,3,4,1,2,0,5,3,3,5,2,12,12,13
16,4,4,1,2,0,4,4,5,5,4,12,11,12
15,4,4,1,2,0,5,4,2,5,0,10,11,11
15,4,4,2,2,0,4,3,1,5,2,15,15,15
15,4,3,1,2,0,4,5,2,5,0,13,14,15
15,3,3,1,2,0,5,3,2,2,0,13,12,12
16,3,2,1,1,0,5,4,3,5,4,12,12,12
15,2,3,2,1,0,3,5,1,5,4,11,11,11
15,4,3,1,3,0,5,4,3,4,0,14,14,14
16,4,4,2,3,0,2,4,3,5,4,13,13,13
15,3,4,1,3,0,4,3,2,5,2,11,12,12
15,2,2,1,1,0,4,3,1,2,8,14,13,12
16,2,2,2,2,0,3,3,3,3,16,11,11,10
15,4,4,1,1,0,5,4,3,5,8,10,11,11
15,4,4,1,2,0,4,3,3,5,0,14,15,15
15,2,2,1,1,0,5,4,1,1,0,9,10,10
16,2,2,2,2,1,4,3,3,5,14,10,11,11
15,4,3,1,2,0,5,2,2,5,4,10,11,11
16,3,3,1,2,0,2,3,5,3,6,13,12,13
16,4,3,1,4,0,4,2,2,2,2,17,17,17
15,4,2,1,2,0,4,3,3,5,4,11,12,13
15,4,4,1,2,0,4,4,4,3,2,13,12,12
16,2,2,3,2,0,4,3,3,4,0,14,13,13
15,4,2,1,2,0,4,3,3,5,0,16,14,16
15,4,2,2,1,0,5,5,5,5,4,10,9,9
15,4,4,1,1,0,3,3,4,5,0,13,12,12
15,3,3,1,1,0,5,3,4,1,0,13,12,13
16,2,1,1,2,0,5,3,4,2,2,12,13,12
15,4,3,1,2,0,4,3,2,1,0,15,14,15
15,4,4,1,2,0,3,2,2,5,8,15,15,16
15,1,2,1,2,0,4,3,2,5,0,14,13,14
16,4,2,1,2,0,4,2,3,5,2,16,15,16
16,4,4,1,2,0,2,4,4,4,0,17,16,16
16,1,1,4,1,0,5,5,5,5,0,10,10,16
16,1,2,1,2,0,4,4,3,1,0,13,13,10
16,4,3,1,3,0,3,4,4,4,0,14,13,13
15,4,3,1,2,0,4,4,4,2,0,13,12,12
16,4,3,3,2,0,5,4,3,1,2,16,15,16
15,4,4,1,4,0,1,3,3,3,0,11,12,12
16,3,1,1,4,0,4,3,3,5,0,10,9,10
15,2,2,2,2,0,4,1,3,4,0,11,10,11
15,3,1,2,4,0,4,4,2,3,6,15,15,15
